id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
1;1;AVENIDA CASTILLA LA MANCHA, 26;D;Nº 10.935;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
2;2;CR CM-332, 46,4;I;REPSOL;P;dm;L-D: 7:00-23:00;L-D: 7:00-23:00 (A)
3;3;AVENIDA 1º DE MAYO, S/N;N;CARREFOUR;P;dm;"L-S: 08:00-22:00; D: 09:00-21:00";"L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)"
4;4;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;I;BP ROMICA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
5;5;CALLE FEDERICO GARCIA LORCA, 1;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
6;6;CALLE FEDERICO GARCIA LORCA, 5;I;CEPSA;R;dm;L-S: 05:00-23:00;L-S: 05:00-23:00 (A)
7;7;AVENIDA MENÉNDEZ PIDAL, 58;N;TAMOS;P;dm;L-D: 24H;L-D: 24H (A)
8;8;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;A&A;P;dm;L-S: 09:00-21:30;Sin datos
9;9;CALLE CONSTANTINO ROMERO, S/N;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
10;10;PASEO CUBA (LA), 36;N;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
11;11;CL PASEO DE LA CUBA, 15;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
12;12;CALLE HERMANOS FALCÓ, 2;D;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
13;13;CALLE ALMANSA, 2;I;CEPSA;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
14;14;CARRETERA JAEN KM. 2;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
15;15;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;N;FAMILY ENERGY;P;dm;"L-S: 07:00-23:00; D: 08:00-23:00";"L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)"
16;16;AVDA. DE LOS TOREROS, S/N;N;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
17;17;CALLE CTRA. DE JAEN, 79;I;REPSOL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
18;18;CR N-322, 337,8;I;REPSOL;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (P)
19;19;PG CAMPOLLANO-P. 2-CT, S.N.;D;REPSOL;P;OM;"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";"L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)"
20;20;CR N-301, 244;I;REPSOL;P;OM;L-D: 24H;L-D: 24H (A)
21;21;CARRETERA N-322 KM. 359;D;REPSOL;P;OM;"L-V: 07:00-21:00; S-D: 09:00-14:00";Sin datos
22;22;AVENIDA 1º DE MAYO, S/N;N;PETROCAMP;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
23;23;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;D;P347;P;dm;L-S: 07:00-22:00;L-S: 07:00-22:00 (A)
24;24;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;N;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
25;25;CARRETERA NACIONAL 301 KM. 256;D;INPEALSA;P;dm;L-D: 24H;"L-V: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); S: 00:00-07:00 (D), 07:00-15:00 (P), 15:00-23:59 (D); D: 24H (D)"
26;26;CARRETERA N-322 KM. 349;D;CEPSA;P;dm;L-D: 24H;L-D: 24H (A)
27;27;AVENIDA PRINCIPE, 2;D;REPSOL;P;OM;L-D: 08:00-16:00;L-D: 08:00-16:00 (A)
28;28;CM. 3203 km 14,1;D;LOZANO;P;dm;"L-S: 07:00-14:00; D: 09:00-14:00";Sin datos
29;29;CTRA.AGUASNUEVAS KM 0,25;D;CORYMAR;R;dm;L-D: 24H;L-D: 24H (A)
30;30;AUTOVIA A-31 KM. 69;I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
31;31;MADRID-CARTAGENA km 248,5;D;REPSOL. LOS ANGELES DE LA MANCHA, S.L.;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
32;32;MADRID-CARTAGENA km 248,5;I;REPSOL Nº ESTACIÓN 97179;P;OM;L-V: 06:00-22:00;L-V: 06:00-22:00 (A)
33;33;POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;ABOIL;P;dm;"L-V: 07:00-21:00; S-D: 09:00-14:00";"L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)"
34;34;POLIGONO CAMPOLLANO AVENIDA 1, 0;N;INPEALSA;P;dm;"L-V: 06:00-22:00; S: 06:00-14:00";S: 06:00-14:00 (A)
35;35;POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69;D;ENERCOM CARBURANTES;P;dm;L-D: 24H;L-D: 24H (A)
36;36;CARRETERA C-M 332 KM. 2,6;D;"INLOCOR S.L. ""CEPSA""";P;dm;L-D: 06:00-23:30;L-D: 06:00-23:30 (A)
37;37;SECTOR PARCELA T-3 LOCAL52, 14;N;ALCAMPO;P;dm;"L-S: 06:00-23:00; D: 08:00-23:00";"L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)"
38;38;AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;N;VALERO 24H;P;dm;L-D: 24H;L-D: 24H (A)
39;39;POLIGONO CAMPOLLANO C/.F, 13;D;AVANZA OIL;P;dm;L-D: 24H;L-D: 24H (A)
40;40;AVENIDA 3ª ESQUINA C/ F Nº3, 3;N;FAST & GAS;P;dm;L-D: 24H;L-D: 24H (A)
41;41;CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N;D;NATURGY ES  GNV ALBACETE;P;dm;L-D: 24H;L-D: 24H (A)
42;42;AVENIDA PRIMERA, S/N;D;GMOIL;P;dm;L-D: 24H;L-D: 24H (A)
43;43;CALLE AUTOVIA, SN;N;LA GAVIOTA GASOLINERA 24 HORA;P;dm;L-D: 24H;"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)"
44;44;CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238;I;AREA LOS LLANOS;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
45;45;POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N;D;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
46;46;AUTOVIA A-30 KM. 239,4;D;CEPSA;P;OM;L-D: 07:00-23:00;Sin datos
47;47;AUTOVIA A-30 KM. 239,4;I;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
48;48;CM-3203 km 41,9;I;CEPSA;P;dm;L-D: 07:00-21:30;L-D: 07:00-21:30 (A)
49;49;CARRETERA CM-3201 47,1 KM. 47,1;D;EL JUCAR;P;dm;L-D: 08:00-20:00;Sin datos
50;50;CARRETERA 322 KM. 302;I;REPSOL;P;OM;L-V: 07:00-17:00;L-V: 07:00-17:00 (A)
51;51;CL AVDA. DE AYORA, S.N. A;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
52;52;AVENIDA MADRID, 11;N;CEPSA;P;OM;L-V: 06:00-22:00;L-V: 06:00-22:00 (A)
53;53;AVENIDA CIRCUNVALACION, 9;N;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
54;54;AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ, S/N;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
55;55;AVENIDA INFANTE DON JUAN MANUEL, 8;D;QUALITY ALMANSA;P;dm;L-D: 24H;Sin datos
56;56;AVENIDA CIRCUNVALACION, 26;N;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
57;57;AUTOVIA A-31 KM. 143,350;I;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
58;58;AUTOVIA A-31 KM. 140;D;SHELL;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
59;59;CARRETERA N-430 BADAJOZ A VALENCIA KM. 594;D;GASOLINERA LOW COST PENADES;P;dm;L-D: 24H;L-D: 24H (P)
60;60;AVENIDA CIRCUNVALACION, 17;N;GASÓLEOS S. ALMANSA;P;dm;L-D: 24H;L-D: 24H (A)
61;61;BONETE, S/Nº;N;COOPERATIVA SANTA CRUZ DE ALPERA;P;dm;L-D: 24H;L-D: 24H (A)
62;62;N-322 km 326,2;D;E.S. BALAZOTE S.L.;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
63;63;CALLE ALBACETE, 57;I;E.S. BARRAX S.L.;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
64;64;CAMINO DE LOS GONZALOS SN;D;COABA;R;dm;L-D: 24H;L-D: 24H (A)
65;65;CARRETERA BIENSERVIDA KM. 10;N;GASOLINERA ETENOIL;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
66;66;AUTOVIA A-31 KM. 126;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
67;67;CR N-430, 566,3;I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
68;68;CALLE CARRETERA MUNERA, 2;D;REPSOL;P;OM;S-D: 07:00-15:00;S-D: 07:00-15:00 (A)
69;69;AVDA. ALBACETE, 33;D;GASOLINERAS DEL REY;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
70;70;CARRETERA CASAS IBAÑEZ KM. 13,8;D;COOPERATIVA;R;dm;L-V: 08:00-13:30 y 15:00-18:00;L-V: 08:00-13:30 (A), 15:00-18:00 (A)
71;71;AVDA. DEL VINO, 10;D;NTRA SRA DE LA CABEZA;R;dm;L-D: 24H;L-D: 24H (A)
72;72;CARRETERA ALBACETE KM. 94;I;CEPSA;P;dm;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
73;73;CR N-344 DIRC.VALENCIA, KM.  118.3;N;BP PARGA I PETROL BAS BEL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
74;74;AVENIDA VALENCIA DE, 16;N;GALP;P;dm;L-D: 06:00-22:00;Sin datos
75;75;CARRETERA D-12 ESTACION KM. 32;D;VILA Y FAYOS ;P;dm;L-D: 24H;L-D: 24H (A)
76;76;AUTOVIA A-31 KM. 167,50;I;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
77;77;CARRETERA D12 ESTACION KM. 1;D;HAM;P;dm;L-D: 24H;L-D: 24H (D)
78;78;CALLE VIRGEN DE LAS NIEVES, 17;D;VIRGEN DE LAS NIEVES;P;dm;L-D: 24H;L-D: 24H (A)
79;79;Ctra. AB-430 KM 530,3;I;REPSOL;P;OM;L: 06:00-22:00;L: 06:00-22:00 (A)
80;80;AUTOVIA A-31 KM. 86;D;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
81;81;AUTOVIA A-31 KM. 86;I;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
82;82;CL AVENIDA GENERALISIMO 107 (N-301 km 276);I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
83;83;AUTOVIA A31 KM. 111;N;CEPSA;P;dm;"L-V: 06:00-22:00; S-D: 07:00-22:00";Sin datos
84;84;CL BOLEA, 36 (CM-412 km 235,65);D;CAMPSA;P;OM;L: 06:00-22:00;L: 06:00-22:00 (A)
85;85;POLIGONO EL CAMPILLO A, 2;D;DLP;P;dm;"L-V: 08:00-21:00; S: 08:00-14:00";"L-V: 08:00-21:00 (P); S: 08:00-14:00 (P)"
86;86;AVDA. DOCTOR PEREZ GIL, 25;N;Nº 7374;P;dm;L: 07:00-21:00;Sin datos
87;87;LA HIGUERA, 000;D;SAN DIONISIO;R;dm;L-D: 24H;L-D: 24H (A)
88;88;N-322 (CORDOBA-VALENCIA) km 399;I;ES SAN ANTONIOABAD. FUENTEALBILLA;P;dm;L-D: 07:00-20:00;L-D: 07:00-20:00 (A)
89;89;CR A-31, 235;I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
90;90;CR N-301, 231,8;D;REPSOL;P;OM;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
91;91;CARRETERA NACIONAL 322 KM. 390;D;CEPSA;P;dm;L: 06:00-22:00;L: 06:00-22:00 (A)
92;92;CARRETERA A-30 KM. 328,2;I;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
93;93;AUTOVIA A-30 KM. 322,5;D;GALP;P;dm;L-D: 06:00-22:00;Sin datos
94;94;CARRETERA TORREUCHEA KM. 1;D;HELLIN GAS S.L.;P;dm;L-D: 24H;L-D: 24H (A)
95;95;MELCHOR  DE MACANAZ, 66;N;BP;P;dm;L: 06:00-23:00;L: 06:00-23:00 (A)
96;96;CARRETERA N-301 KM. 316;I;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
97;97;AVENIDA LIBERTAD, 111;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (A)
98;98;CARRETERA CM 412 KM. 273;D;PETROGAS;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (A)
99;99;POLIGONO SAN RAFAEL 3ª FASE, SN;N;IDS;P;OM;L-D: 24H;L-D: 24H (A)
100;100;CARRETERA MURCIA KM. 33;I;PETRONOR;P;OM;L-D: 06:00-23:00;L: 06:00-23:00 (A)
101;101;CARRETERA JAEN KM. 47;D;REPSOL;P;OM;L-D: 08:00-21:00;L-D: 08:00-21:00 (A)
102;102;CARRETERA N 301-A KM. S/N;D;MULTSER-OIL;P;dm;L-D: 24H;L-D: 24H (A)
103;103;CARRETERA DE HELLIN KM. 104;D;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
104;104;BALTASAR GONZALEZ SAEZ, 34 - 36;D;NO;R;dm;L-D: 24H;L-D: 24H (D)
105;105;AUTOVIA A-31 KM. 103,150;D;REPSOL;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
106;106;CARRETERA A 45 KM. 39,8;D;E.S. LETUR;P;dm;L-D: 07:30-21:30;Sin datos
107;107;PASEO LIBERTAD, 62;D;E.S. VIRGEN DE LA CRUZ;P;dm;L-D: 7:00-20:30;L-D: 7:00-20:30 (A)
108;108;CARRETERA C-3222 KM. 9;D;Q8;P;dm;L-S: 07:00-15:00;L-S: 07:00-15:00 (A)
109;109;AVENIDA LEVANTE, 15;I;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
110;110;AVENIDA DE LEVANTE 27;D;SAT VIDEMA;R;dm;L-D: 24H;L-D: 24H (A)
111;111;CAMINO HORTIGOSA, S/N;N;SECADEMA;R;dm;L-D: 24H;L-D: 24H (A)
112;112;CARRETERA MADRID-CARTAGENA KM. S/N;D;COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR;R;dm;L-D: 24H;L-D: 24H (A)
113;113;CARRERA N-301, 195,2;D;REPSOL;P;dm;L-D: 06:00-22:00;Sin datos
114;114;CALLE CAPATAZ SANTIAGO, 23;I;LOS CORRALES;P;dm;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
115;115;CALLE CAPATAZ SANTIAGO, 91;D;BODEGAS SANTIAGO APOSTOL;R;dm;L-D: 06:30-23:00;L-D: 06:30-23:00 (A)
116;116;MEDIO DÍA 28;N;SAT MOTILLEJA;R;dm;L-D: 24H;L-D: 24H (A)
117;117;CALLE COOPERATIVAS, 4;N;OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM;R;dm;L-D: 24H;L-D: 24H (D)
118;118;CALLE POZO (EL), 106;D;INPEALSA;P;dm;L-D: 06:30-22:30;L-D: 06:30-22:30 (P)
119;119;CTRA DE LEDAÑA S/N km S/N;N;COOP SAN GREGORIO;R;dm;L-D: 24H;L-D: 24H (A)
120;120;CR AB-702, 45,6;D;CAMPSA;P;OM;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
121;121;CRTA.CM km KM297,5;I;REPSOL ;P;OM;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
122;122;CAMINO DE HELLIN S/N;D;ONTALBA S. COOP DE C-LM;P;dm;L-D: 24H;L-D: 24H (A)
123;123;CARRETERA N 430 KM. 429;I;REPSOL;P;OM;L-D: 07:30-20:30;Sin datos
124;124;AVENIDA GUARDIA CIVIL, S/N;D;VALERO 24H ENERGIA;P;dm;L-D: 24H;L-D: 24H (A)
125;125;CARRETERA FUENTEALAMO KM. 36;I;GASOLEOS TURBULA ;P;dm;L-D: 24H;Sin datos
126;126;CALLE HERNAN CORTES, S/N;N;POZOTRANS;R;dm;L-D: 08:00-20:00;L-D: 08:00-20:00 (D)
127;127;CALLE ANTONIO MACHADO, 2;D;E.S. LEDAÑA ;P;dm;"L-V: 07:00-14:00; S: 09:00-14:00";Sin datos
128;128;CR CM-313 61,7;I;REPSOL;P;dm;L-D: 07:00-21:00;L-D: 07:00-21:00 (P)
129;129;CALLE DISEMINADOS, 1;D;CAMPAREZ GASOLINERA;P;dm;L-D: 07:00-10:00;L-D: 07:00-10:00 (P)
130;130;POLIGONO PARAJE RECIAL, 2;I;SAT SANTA CRUZ DE POZO LORENTE;P;dm;L-D: 24H;L-D: 24H (A)
131;131;CARRETERA M 313 KM. 50;I;INLOCOR S.L.;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
132;132;CARRETERA CM-412 KM. 199,5;I;CEPSA;P;dm;L-D: 08:00-20:00;L-D: 08:00-22:00 (A)
133;133;CARRETERA NACIONAL 320 KM. 289;D;CANOIL;P;dm;"L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00";Sin datos
134;134;ALFREDO ATIENZA, 149-151;D;LA REMEDIADORA;R;dm;L-D: 24H;L-D: 24H (D)
135;135;POLIGONO AVENIDA PRIMERA, 17;D;HAM;P;dm;L-D: 24H;L-D: 24H (A)
136;136;AUTOVIA A-31 KM. 34,50;I;GALP;P;dm;L-D: 07:00-23:00;Sin datos
137;137;CARRETERA A-31 KM. 50;D;GALP;P;dm;L-D: 07:00-23:00;Sin datos
138;138;CARRETERA MADRID CARTAGENA KM. 209;N;BP CASA JUANITO RESTAURANTE;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
139;139;CARRETERA AB101 KM. 0,2;N;GASPLAY;P;dm;L-D: 24H;L-D: 24H (A)
140;140;CR NACIONAL 301 km 210,300;N;RODATRANS;R;dm;L-D: 24H;L-D: 24H (A)
141;141;AUTOVIA A-31 KM. 40;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
142;142;CARRETERA CM-3114 KM. 0,1;I;REPSOL;P;OM;"L-V: 06:00-10:00; S: 06:00-14:00";"L-V: 06:00-10:00 (A); S: 06:00-14:00 (A)"
143;143;CALLE ALFREDO ATIENZA, 156;D;REPSOL;P;OM;L-D: 06:00-22:55;Sin datos
144;144;MARTIRES 209;D;CEPSA;P;OM;"L-V: 07:00-21:00; S: 09:00-13:00";"L-V: 07:00-21:00 (A); S: 09:00-13:00 (A)"
145;145;AVENIDA DE LA PAZ, 3;D;NAVARRO Y VALERO, S.L;P;dm;"L-S: 06:00-22:00; D: 06:30-22:00";"L-S: 06:00-22:00 (A); D: 06:30-22:00 (A)"
146;146;CARRETERA VILLAGARCIA KM. 0,1;I;COOP. LA UNION AB;R;dm;L-D: 24H;L-D: 24H (A)
147;147;CL AVENIDA DE LA RODA, 1;I;REPSOL;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
148;148;AVENIDA ALBACETE, 35;D;LA GAVIOTA GASOLINERAS;P;dm;L-D: 24H;L-D: 24H (A)
149;149;AVENIDA GUARDIA CIVIL, 162;D;NTRA. SRA. DE LA ENCARNACION;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
150;150;AVENIDA GUARDIA CIVIL, 233;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
151;151;AVENIDA GUARDIA CIVIL, 114;D;E.S. TOBARRA;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
152;152;CALLE SANTA CRUZ, 16;D;NO HAY;P;dm;L-D: 24H;L-D: 24H (A)
153;153;CARRETERA CM-3114 KM. 12,7;I;E.S EL GORRION;P;dm;L-D: 07:30-21:30;Sin datos
154;154;CALLE DEL VINO, 10;N;SAN ISIDRO;R;dm;L-D: 24H;L-D: 24H (D)
155;155;CALLE VALENCIA, 41;I;BODEGAS SAAC;P;dm;L-D: 24H;L-D: 24H (A)
156;156;CARRETERA CM-3201 KM. 22,70;D;REPSOL;P;OM;"L-S: 07:00-21:00; D: 07:00-14:00";"L-S: 07:00-21:00 (P); D: 07:00-14:00 (P)"
157;157;CARRETERA CENIZATE KM. 1,5;D;CHAMPINTER;P;dm;L-D: 00:00-23:59;Sin datos
158;158;CARRETERA DE ALBACETE, 14 KM. 0;D;SIERRA DE ALCARAZ;P;dm;L: 24H;L: 24H (D)
159;159;CR N-322, 258,8;D;REPSOL;P;dm;L-D: 07:00-21:00;Sin datos
160;160;CARRETERA N-310 KM. 120,5;D;CEPSA;P;dm;"L-V: 07:00-21:00; D: 14:00-21:00";"L-V: 07:00-21:00 (A); D: 14:00-21:00 (A)"
161;161;CALLE DOS DE MAYO, 167;I;REPSOL;P;dm;L-D: 06:00-00:00;L-D: 06:00-00:00 (A)
162;162;CARRETERA DE LAS MESAS KM. 005;N;ESTACIÓN DE SERVICIO LOS VIÑEDOS;P;dm;L-D: 06:00-22:30;Sin datos
163;163;AUTOVIA A-43 KM. 129;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
164;164;AVENIDA REYES CATÓLICOS (APARCAMIENTO DEL CARREFOUR), S/N;N;CARREFOUR;P;dm;L-S: 08:00-22:00;L-S: 08:00-22:00 (A)
165;165;CALLE NOBEL, 64;N;COMBUSTIBLES DISPROSIO S.L.;P;dm;L-S: 08:00-20:00;Sin datos
166;166;AVENIDA REYES CATOLICOS, S/N;N;AVIA;P;dm;L-D: 06:00-22:00;L-D: 06:00-00:00 (A)
167;167;AVENIDA REYES CATOLICOS, 133;D;BP VILLARROBLEDO;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
168;168;CARRETERA OSSA DE MONTIEL KM. 21;I;REPSOL;P;OM;"L-S: 06:00-22:00; D: 06:00-15:00";"L-S: 06:00-22:00 (P); D: 06:00-15:00 (P)"
169;169;CARRETERA NACIONAL 310 KM. 137,7;I;REPSOL;P;OM;L-S: 07:00-22:00;L-S: 07:00-22:00 (A)
170;170;AVENIDA REYES CATOLICOS, 26;D;CEPSA;P;OM;"L-V: 07:00-21:00; S: 08:00-13:00";"L-V: 07:00-21:00 (A); S: 08:00-13:00 (A)"
171;171;AUTOVIA A-43 KM. 390;I;CEPSA;P;OM;L-D: 06:00-23:59;L-D: 06:00-23:59 (A)
172;172;CARRETERA MUNERA KM. 0,500;I;VINICOLA DE VILLARROBLEDO;R;dm;L-D: 24H;L-D: 24H (A)
173;173;AVENIDA REYES CATOLICOS, 150;D;PAÑALON;P;dm;L-D: 24H;L-D: 24H (P)
174;174;CALLE FERNANDO ZEPPELIN, 13;D;MOLGAS;P;dm;L-D: 00:00-23:59;L-D: 24H (D)
175;175;CALLE GENERAL MARTI, 2;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
176;176;CARRETERA DE HELLIN KM. 42;I;CEPSA;P;OM;L-D: 07:00-21:00;L-D: 07:00-21:00 (P)
177;177;AUTOPISTA AP 7 KM. 696;D;GALP;P;OM;L-D: 24H;L-D: 00:00-06:00 (D), 06:00-22:00 (A), 22:00-23:59 (D)
178;178;CARRETERA AGOST-NOVELDA KM 2 KM. 2;I;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
179;179;AUTOPISTA AP 7 KM. 696;I;GALP;P;OM;L-D: 24H;L-D: 00:00-06:00 (D), 06:00-22:00 (A), 22:00-23:59 (D)
180;180;CARRETERA SAN VICENTE - AGOST KM. 11;N;PETRONOR;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
181;181;CALLE POLIGONO INDUSTRIAL MOS DEL BOU, CALLE EL ESPARTO, 5;D;SUVER GASOLEOS ;P;dm;L-D: 24H;L-D: 24H (A)
182;182;CARRETERA N-340 KM. 702,1;D;FTH;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
183;183;CARRETERA N-340 KM. 696,7;D;REPSOL;P;dm;L-V: 06:00-22:00;Sin datos
184;184;N-340 km 696,7;I;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
185;185;CARRETERA CATRAL-ALBATERA KM. 4,2;I;REPSOL;P;OM;L-D: 24H;L-D: 24H (P)
186;186;POLIGONO PLAZA MOSQUERA, 6;D;REPSOL ;P;dm;L-D: 24H;L-D: 24H (P)
187;187;CALLE ALACANT, 58;N;BALLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
188;188;CALLE ALICANTE, 62;D;SHELL;P;OM;L-D: 05:00-23:00;L-D: 05:00-23:00 (A)
189;189;CALLE ALACANT, 101;D;PLENOIL ;P;dm;L-D: 24H;L-D: 24H (D)
190;190;CALLE ALICANTE, 62;D;MASOIL ALCOY;P;dm;L-D: 24H;L-D: 24H (A)
191;191;CALLE VALENCIA ESQ C/SANT JOAN BOSCO, 1;D;GASEXPRESS;P;dm;L-D: 24H;L-D: 24H (A)
192;192;PG COTES BAIXES,CALLE C,PARC.1, 0;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
193;193;AVENIDA TIRANT, S/N;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
194;194;CALLE OLIVER, 72;D;PETRONOR;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
195;195;N-340 km 131,000;N;GALP;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
196;196;Alicante, 1 - P.I. Beniata;N;GASOLINERA ALCOY ;P;OM;L-D: 24H;L-D: 24H (D)
197;197;CALLE MALLORCA, CTRA. CV-763, 1;D;BP ALFAZ DEL PI;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
198;198;CL AVDA. DEL PAIS VALENCIANO S.N.;D;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
199;199;AVENIDA PAIS VALENCIÁ, 47;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
200;200;AVINGUDA PAIS VALENCIÁ, 37;D;BEROIL;P;dm;L-D: 24H;"L-V: 00:00-08:59 (D), 08:59-16:59 (A), 16:59-23:59 (D); S-D: 24H (D)"
201;201;AVENIDA ALBIR, 90;D;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
202;202;AP-1535 km 2,000;N;GALP;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
203;203;POLIGONO SECTOR VIII - EL ZOCO, S/N;N;BP EL ZOCO;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
204;204;CALLE SAN JUAN, 32;D;CEPSA;P;dm;L-D: 06:30-21:00;L-D: 06:30-21:00 (A)
205;205;AVENIDA DENIA, 80;D;BP SANDOVAL MD;P;OM;L-D: 24H;L-D: 24H (P)
