id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
8722;8722;CALLE EUFEMIANO FUENTES CABRERA, 10;N;PETROPRIX;P;OM;"L-S: 06:00-22:00; D: 07:00-21:00";"L-S: 06:00-22:00 (A); D: 07:00-21:00 (A)"
8723;8723;CALLE DIEGO VEGA SARMIENTO, 70;N;BP COOPERATIVA TAXIS S. CRISTOBAL;P;dm;"L-V: 06:00-22:00; S: 07:00-15:00";"L-V: 06:00-22:00 (A); S: 07:00-15:00 (A)"
8724;8724;CARRETERA GENERAL DEL CENTRO KM. 146;N;DISA TAFIRA;P;dm;L-D: 24H;L-D: 24H (D)
8725;8725;CARRETERA GC 800 KM. S/N;I;CEPSA HOYA PARRADO;P;OM;L-D: 24H;L-D: 24H (A)
8726;8726;CARRETERA LOS TARAHALES KM. S/N;D;DISA TARAHALES I;P;OM;L-D: 06:00-22:00;"L-V: 06:00-14:00 (A), 14:00-22:00 (P); S-D: 06:00-22:00 (A)"
8727;8727;CARRETERA CTRA. GRAL. DEL NORTE KM. 185;N;BP LA PATERNA;P;OM;L-D: 24H;L-D: 24H (A)
8728;8728;CARRETERA GC 200 KM. 16;N;SHELL REHOYAS;P;dm;"L-V: 06:30-22:30; S: 08:00-16:00";"L-V: 06:30-22:30 (A); S: 08:00-16:00 (A)"
8729;8729;CALLE LUIS CORREA MEDINA, 19;N;E.S. DISA MILLER BAJO;P;dm;L-D: 24H;L-D: 24H (D)
8730;8730;AVENIDA PINTOR FELO MONZON, 48;N;CEPSA SIETE PALMAS;P;dm;L-D: 24H;"L-V: 00:00-06:30 (D), 06:30-21:30 (A), 21:30-23:59 (D); S: 00:00-08:30 (D), 08:30-13:30 (A), 13:30-23:59 (D); D: 24H (D)"
8731;8731;AVENIDA JUAN CARLOS I, 42;D;CEPSA;P;dm;L-D: 24H;L-D: 24H (D)
8732;8732;AVENIDA JUAN XXIII, 68;N;DISA JUAN XXIII;P;dm;L-D: 24H;L-D: 24H (A)
8733;8733;CALLE LEON Y CASTILLO, 273;N;BP CIUDAD JARDIN (CAN);P;dm;"L-J: 05:00-22:00; V: 05:00-23:00; S: 06:00-23:00; D: 06:00-22:00";"L-J: 05:00-22:00 (P); V: 05:00-23:00 (P); S: 06:00-23:00 (P); D: 06:00-22:00 (P)"
8734;8734;AVENIDA REPUBLICA DE NICARAGUA, 2;N;CEPSA;P;dm;"L-S: 06:00-23:00; D: 07:00-23:00";"L-S: 06:00-23:00 (P); D: 07:00-23:00 (P)"
8735;8735;PASEO DEL CHIL, 303;N;DISA CHIL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
8736;8736;CALLE ARRECIFE, 33;D;H2EXAGON LAS TORRES;P;dm;L-D: 24H;L-D: 24H (A)
8737;8737;CARRETERA DE TEROR KM. 16;D;PLENOIL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8738;8738;AVENIDA CESAR MANRIQUE, 1;D;BP LOMO LOS FRAILES;P;dm;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A)
8739;8739;CARRETERA GC-21 KM. 0;D;BP TAMARACEITE II;P;dm;L-D: 06:00-00:00;L-D: 06:00-23:59 (P)
8740;8740;CALLE FERNANDO GUANARTEME, 134;N;BP GUANARTEME;P;OM;L-D: 24H;L-D: 24H (A)
8741;8741;CALLE LEON Y CASTILLO, 365;N;DISA ALCARAVANERAS;P;OM;L-D: 06:00-22:00;"L-V: 06:00-12:00 (A), 12:00-20:00 (P), 20:00-22:00 (A); S-D: 06:00-22:00 (A)"
8742;8742;AVENIDA ESCALERITAS, 152;D;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
8743;8743;PASEO JOSE ANTONIO, 89;N;E.S. SHELL SCHAMANN;P;OM;L-D: 24H;L-D: 00:00-07:00 (A), 07:00-23:00 (P), 23:00-23:59 (A)
8744;8744;CALLE DIEGO VEGA SARMIENTO, 70;N;DISA EL DRAGON;P;OM;"L-S: 06:00-22:00; D: 07:00-21:00";"L-S: 06:00-22:00 (A); D: 07:00-21:00 (A)"
8745;8745;CALLE PÁRROCO MATÍAS ARTILES, 42;D;BP BARRANQUILLO TAXISTAS SAN CRISTOBAL;P;dm;L-D: 24H;L-D: 24H (D)
8746;8746;PLAZA HERMANOS MILLARES, S/N;N;DISA ESCALERITAS;P;dm;L-D: 24H;L-D: 24H (D)
8747;8747;AVENIDA ESCALERITAS, S/N;D;REPSOL;P;OM;L-D: 24H;L-D: 24H (P)
8748;8748;AVENIDA DE ESCALERITAS, 112;D;REPSOL;P;OM;L-D: 24H;L-D: 24H (P)
8749;8749;CARRETERA GENERAL DE ALMATRICHE KM. 48;D;DISA ALMATRICHE;P;OM;"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00";"L-V: 06:00-22:00 (P); S: 07:00-22:00 (P); D: 08:00-22:00 (P)"
8750;8750;GLORIETA ACCESO SUR TAMARACEITE, 4;N;DISA TAMARACEITE;P;OM;L-D: 24H;L-D: 24H (A)
8751;8751;AVENIDA HOYA DE LA GALLINA, S/N;D;REPSOL;P;OM;L-D: 24H;L-D: 24H (A)
8752;8752;AVENIDA FEDERICO GARCIA LORCA, 1;D;REPSOL;P;dm;L-D: 06:00-22:00;"L-V: 06:00-10:00 (A), 10:00-18:00 (P), 18:00-22:00 (A); S-D: 06:00-22:00 (A)"
8753;8753;MUELLE MUELLE DEPORTIVO DE LAS PALMAS, S/N;N;CEPSA LA MARINA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8754;8754;CR FV-1, 2;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
8755;8755;CALLE CASILLAS DEL ANGEL, 132;D;REPSOL;P;OM;L-D: 06:00-22:00;"L-V: 06:00-22:00 (P); S-D: 06:00-22:00 (A)"
8756;8756;CALLE MUELLE DARSENA PESQUERA, S/N;D;REPSOL MUELLE CHICO;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8757;8757;CARRETERA LA OLIVA KM. 2,7;I;DISA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8758;8758;CARRETERA LA OLIVA KM. 2,7;D;DISA;P;dm;L-D: 24H;Sin datos
8759;8759;CALLE PROFESOR JUAN TADEO CABRERA, 20;N;MERCASOSA;P;OM;L-D: 24H;L-D: 00:00-06:00 (A), 06:00-22:00 (P), 22:00-23:59 (A)
8760;8760;CALLE SECUNDINO ALONSO, 26;D;DISA SECUNDINO ALONSO;P;OM;L-D: 07:00-00:00;L-D: 07:00-23:59 (A)
8761;8761;CALLE ALFONSO XIII, 65;N;DISA  EL CHARCO;P;dm;L-D: 24H;L-D: 24H (A)
8762;8762;AUTOVIA PUERTO DEL ROSARIO-CALETA DE FUSTE KM. 3,5;D;DISA RIO CABRAS;P;dm;"L-S: 08:00-16:00; D: 08:00-14:00";"L-S: 08:00-16:00 (A); D: 08:00-14:00 (A)"
8763;8763;AVENIDA JUAN DE BETHENCOURT, 24;N;CEPSA PUERTO ROSARIO;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
